10,45.57
20,57.67
30,61.69
40,64.97
50,69.18
60,79.72
70,79.87
80,94.01
90,99.92
100,108.64
10,40.8
20,46.22
30,50.04
40,53.16
50,60.31
60,67.21
70,64.69
80,74.07
90,84.19
100,95.25
10,45.08
20,47.47
30,65.22
40,72.82
50,87.77
60,52.08
70,73.96
80,84.52
90,70.87
100,73.71
10,45.41
20,58.76
30,60.94
40,76.61
50,92.24
60,49.52
70,64.35
80,72.39
90,82.49
100,89.98
10,40.11
20,45.89
30,50.53
40,53.12
50,59.17
60,68.17
70,66.24
80,75.62
90,86.18
100,96.08
