10,676
20,898
30,1195
40,1565
50,1991
60,2484
70,3031
80,3638
90,4302
100,5031
10,640
20,836
30,1106
40,1448
50,1842
60,2300
70,2823
80,3400
90,4030
100,4724
10,1085
20,2069
30,3473
40,5206
50,7306
60,9993
70,12941
80,16277
90,19991
100,23998
10,621
20,820
30,1093
40,1435
50,1841
60,2302
70,2869
80,3465
90,4105
100,4833
